2025-08-20 17:20:26,452 [INFO] ✅ CUDA 可用! 设备: NVIDIA GeForce RTX 3070
2025-08-20 17:20:26,452 [INFO] 显存: 8.00 GB
2025-08-20 17:20:26,452 [INFO] 开始转换数据集: ./Muice_Dataset/train.jsonl
2025-08-20 17:20:26,461 [INFO] 数据集转换完成! 共 1500 条样本
2025-08-20 17:20:26,461 [INFO] 开始转换数据集: ./Muice_Dataset/test.jsonl
2025-08-20 17:20:26,463 [INFO] 数据集转换完成! 共 100 条样本
2025-08-20 17:20:26,463 [INFO] 加载模型: ./QWen1_5_0_5B
2025-08-20 17:20:26,599 [INFO] Special tokens: {'eos_token': '<|endoftext|>', 'pad_token': '<|endoftext|>', 'additional_special_tokens': ['<|im_start|>', '<|im_end|>']}
2025-08-20 17:20:26,746 [INFO] We will use 90% of the memory on device 0 for storing the model, and 10% for the buffer to avoid OOM. You can set `max_memory` in to a higher value to use more memory (at your own risk).
trainable params: 3,784,704 || all params: 467,772,416 || trainable%: 0.8091
Tokenizing and chunking... (num_proc=4): 100%|██████████████████████████████████████████████████████████| 1500/1500 [00:13<00:00, 114.00 examples/s] 
Tokenizing and chunking... (num_proc=4): 100%|█████████████████████████████████████████████████████████████| 100/100 [00:11<00:00,  8.82 examples/s]
2025-08-20 17:20:55,772 [INFO] ✨ 开始微调训练...
{'loss': 4.1445, 'grad_norm': 15.630965232849121, 'learning_rate': 2.1176470588235296e-06, 'epoch': 0.11}
{'loss': 1.9465, 'grad_norm': 1.962570071220398, 'learning_rate': 1.997382741295712e-05, 'epoch': 1.6}
{'loss': 1.824, 'grad_norm': 2.004930257797241, 'learning_rate': 1.9964864484862273e-05, 'epoch': 1.7}
{'loss': 1.8767, 'grad_norm': 1.9857418537139893, 'learning_rate': 1.9954586780955082e-05, 'epoch': 1.81}
{'loss': 1.9241, 'grad_norm': 2.201159715652466, 'learning_rate': 1.9942995657287747e-05, 'epoch': 1.92}
{'eval_loss': 1.9084454774856567, 'eval_runtime': 18.5322, 'eval_samples_per_second': 5.396, 'eval_steps_per_second': 2.698, 'epoch': 2.0}
{'loss': 1.8018, 'grad_norm': 2.1728999614715576, 'learning_rate': 1.9930092643206617e-05, 'epoch': 2.02}
{'loss': 1.7588, 'grad_norm': 2.427661180496216, 'learning_rate': 1.9915879441150378e-05, 'epoch': 2.13}
{'loss': 1.8159, 'grad_norm': 2.163994550704956, 'learning_rate': 1.9900357926425443e-05, 'epoch': 2.23}
{'loss': 1.753, 'grad_norm': 2.316028118133545, 'learning_rate': 1.988353014695852e-05, 'epoch': 2.34}
{'loss': 1.7634, 'grad_norm': 2.3852782249450684, 'learning_rate': 1.986539832302642e-05, 'epoch': 2.45}
{'loss': 1.7768, 'grad_norm': 2.2839694023132324, 'learning_rate': 1.9845964846963065e-05, 'epoch': 2.55}
{'loss': 1.7714, 'grad_norm': 2.2559311389923096, 'learning_rate': 1.9825232282843907e-05, 'epoch': 2.66}
{'loss': 1.7142, 'grad_norm': 2.388117790222168, 'learning_rate': 1.980320336614757e-05, 'epoch': 2.77}
{'loss': 1.8262, 'grad_norm': 2.557648181915283, 'learning_rate': 1.977988100339495e-05, 'epoch': 2.87}
{'loss': 1.8483, 'grad_norm': 2.3034908771514893, 'learning_rate': 1.9755268271765723e-05, 'epoch': 2.98}
{'eval_loss': 1.8702353239059448, 'eval_runtime': 18.5311, 'eval_samples_per_second': 5.396, 'eval_steps_per_second': 2.698, 'epoch': 3.0}
{'loss': 1.7376, 'grad_norm': 2.3204689025878906, 'learning_rate': 1.972936841869233e-05, 'epoch': 3.09}
{'loss': 1.7431, 'grad_norm': 2.4023091793060303, 'learning_rate': 1.9702184861431513e-05, 'epoch': 3.19}
{'loss': 1.719, 'grad_norm': 2.6867833137512207, 'learning_rate': 1.9673721186613442e-05, 'epoch': 3.3}
{'loss': 1.7026, 'grad_norm': 2.4164929389953613, 'learning_rate': 1.964398114976848e-05, 'epoch': 3.41}
{'loss': 1.7277, 'grad_norm': 3.1906259059906006, 'learning_rate': 1.9612968674831697e-05, 'epoch': 3.51}
{'loss': 1.6745, 'grad_norm': 2.5857656002044678, 'learning_rate': 1.95806878536251e-05, 'epoch': 3.62}
{'loss': 1.6675, 'grad_norm': 2.340756416320801, 'learning_rate': 1.95471429453178e-05, 'epoch': 3.73}
{'loss': 1.7328, 'grad_norm': 2.4673750400543213, 'learning_rate': 1.9512338375864023e-05, 'epoch': 3.83}
{'loss': 1.6663, 'grad_norm': 2.9818778038024902, 'learning_rate': 1.947627873741914e-05, 'epoch': 3.94}
{'eval_loss': 1.834694266319275, 'eval_runtime': 18.5702, 'eval_samples_per_second': 5.385, 'eval_steps_per_second': 2.692, 'epoch': 4.0}
{'loss': 1.6411, 'grad_norm': 3.328375816345215, 'learning_rate': 1.9438968787733808e-05, 'epoch': 4.04}
{'loss': 1.609, 'grad_norm': 2.9473488330841064, 'learning_rate': 1.9400413449526186e-05, 'epoch': 4.15}
{'loss': 1.5499, 'grad_norm': 2.9260497093200684, 'learning_rate': 1.9360617809832448e-05, 'epoch': 4.26}
{'loss': 1.6974, 'grad_norm': 2.8781819343566895, 'learning_rate': 1.9319587119335594e-05, 'epoch': 4.36}
{'loss': 1.648, 'grad_norm': 3.060169219970703, 'learning_rate': 1.9277326791672656e-05, 'epoch': 4.47}
{'loss': 1.6432, 'grad_norm': 2.8307976722717285, 'learning_rate': 1.923384240272043e-05, 'epoch': 4.58}
{'loss': 1.5914, 'grad_norm': 3.278026580810547, 'learning_rate': 1.9189139689859776e-05, 'epoch': 4.68}
{'loss': 1.6388, 'grad_norm': 2.913278341293335, 'learning_rate': 1.9143224551218636e-05, 'epoch': 4.79}
{'loss': 1.637, 'grad_norm': 3.431229829788208, 'learning_rate': 1.9096103044893813e-05, 'epoch': 4.9}
{'loss': 1.6473, 'grad_norm': 3.9740912914276123, 'learning_rate': 1.9047781388151675e-05, 'epoch': 5.0}
{'eval_loss': 1.813717007637024, 'eval_runtime': 18.5305, 'eval_samples_per_second': 5.397, 'eval_steps_per_second': 2.698, 'epoch': 5.0}
{'loss': 1.6697, 'grad_norm': 3.1846845149993896, 'learning_rate': 1.8998265956607814e-05, 'epoch': 5.11}
{'loss': 1.5547, 'grad_norm': 3.5741002559661865, 'learning_rate': 1.894756328338588e-05, 'epoch': 5.21}
{'loss': 1.5696, 'grad_norm': 3.3646395206451416, 'learning_rate': 1.8895680058255553e-05, 'epoch': 5.32}
{'loss': 1.5198, 'grad_norm': 3.601289987564087, 'learning_rate': 1.8842623126749923e-05, 'epoch': 5.43}
{'loss': 1.4736, 'grad_norm': 3.453150510787964, 'learning_rate': 1.8788399489262244e-05, 'epoch': 5.53}
{'loss': 1.5689, 'grad_norm': 3.976362705230713, 'learning_rate': 1.8733016300122332e-05, 'epoch': 5.64}
{'loss': 1.6197, 'grad_norm': 3.435696840286255, 'learning_rate': 1.8676480866652587e-05, 'epoch': 5.75}
{'loss': 1.5308, 'grad_norm': 3.5930371284484863, 'learning_rate': 1.8618800648203864e-05, 'epoch': 5.85}
{'loss': 1.5208, 'grad_norm': 3.794781446456909, 'learning_rate': 1.8559983255171293e-05, 'epoch': 5.96}
{'eval_loss': 1.802047848701477, 'eval_runtime': 18.5312, 'eval_samples_per_second': 5.396, 'eval_steps_per_second': 2.698, 'epoch': 6.0}
{'loss': 1.5452, 'grad_norm': 3.5472018718719482, 'learning_rate': 1.8500036447990136e-05, 'epoch': 6.06}
{'loss': 1.4252, 'grad_norm': 3.898179769515991, 'learning_rate': 1.8438968136111855e-05, 'epoch': 6.17}
{'loss': 1.4711, 'grad_norm': 4.260424613952637, 'learning_rate': 1.8376786376960577e-05, 'epoch': 6.28}
{'loss': 1.5073, 'grad_norm': 4.354050159454346, 'learning_rate': 1.831349937486993e-05, 'epoch': 6.38}
{'loss': 1.5186, 'grad_norm': 3.7281081676483154, 'learning_rate': 1.82491154800006e-05, 'epoch': 6.49}
{'loss': 1.4283, 'grad_norm': 4.157498359680176, 'learning_rate': 1.818364318723856e-05, 'epoch': 6.6}
{'loss': 1.5032, 'grad_norm': 3.661045551300049, 'learning_rate': 1.81170911350743e-05, 'epoch': 6.7}
{'loss': 1.5157, 'grad_norm': 4.049876689910889, 'learning_rate': 1.8049468104462994e-05, 'epoch': 6.81}
{'loss': 1.4868, 'grad_norm': 4.160068511962891, 'learning_rate': 1.7980783017665966e-05, 'epoch': 6.92}
{'eval_loss': 1.7880325317382812, 'eval_runtime': 18.5948, 'eval_samples_per_second': 5.378, 'eval_steps_per_second': 2.689, 'epoch': 7.0}
{'loss': 1.4458, 'grad_norm': 4.07037353515625, 'learning_rate': 1.7911044937073473e-05, 'epoch': 7.02}
{'loss': 1.4485, 'grad_norm': 4.256277561187744, 'learning_rate': 1.7840263064008994e-05, 'epoch': 7.13}
{'loss': 1.4249, 'grad_norm': 4.7765583992004395, 'learning_rate': 1.7768446737515202e-05, 'epoch': 7.23}
{'loss': 1.4163, 'grad_norm': 4.385603427886963, 'learning_rate': 1.769560543312176e-05, 'epoch': 7.34}
{'loss': 1.3986, 'grad_norm': 5.0547027587890625, 'learning_rate': 1.7621748761595105e-05, 'epoch': 7.45}
{'loss': 1.4311, 'grad_norm': 4.465696334838867, 'learning_rate': 1.75468864676704e-05, 'epoch': 7.55}
{'loss': 1.4435, 'grad_norm': 4.3739013671875, 'learning_rate': 1.7471028428765787e-05, 'epoch': 7.66}
{'loss': 1.4085, 'grad_norm': 4.695626735687256, 'learning_rate': 1.7394184653679174e-05, 'epoch': 7.77}
{'loss': 1.3648, 'grad_norm': 5.313962459564209, 'learning_rate': 1.7316365281267634e-05, 'epoch': 7.87}
{'loss': 1.4382, 'grad_norm': 4.42880392074585, 'learning_rate': 1.723758057910969e-05, 'epoch': 7.98}
{'eval_loss': 1.813633680343628, 'eval_runtime': 18.5519, 'eval_samples_per_second': 5.39, 'eval_steps_per_second': 2.695, 'epoch': 8.0}
{'loss': 1.3515, 'grad_norm': 4.9099812507629395, 'learning_rate': 1.7157840942150596e-05, 'epoch': 8.09}
{'loss': 1.3281, 'grad_norm': 5.467838764190674, 'learning_rate': 1.7077156891330818e-05, 'epoch': 8.19}
{'loss': 1.3985, 'grad_norm': 4.87859582901001, 'learning_rate': 1.6995539072197877e-05, 'epoch': 8.3}
{'loss': 1.378, 'grad_norm': 5.019827365875244, 'learning_rate': 1.691299825350178e-05, 'epoch': 8.41}
{'loss': 1.291, 'grad_norm': 5.913074016571045, 'learning_rate': 1.6829545325774162e-05, 'epoch': 8.51}
{'loss': 1.2792, 'grad_norm': 5.731657981872559, 'learning_rate': 1.6745191299891394e-05, 'epoch': 8.62}
{'loss': 1.288, 'grad_norm': 5.062778949737549, 'learning_rate': 1.6659947305621774e-05, 'epoch': 8.73}
{'loss': 1.3932, 'grad_norm': 4.860935211181641, 'learning_rate': 1.6573824590157076e-05, 'epoch': 8.83}
{'loss': 1.3454, 'grad_norm': 4.957627773284912, 'learning_rate': 1.6486834516628565e-05, 'epoch': 8.94}
{'eval_loss': 1.8190906047821045, 'eval_runtime': 18.5347, 'eval_samples_per_second': 5.395, 'eval_steps_per_second': 2.698, 'epoch': 9.0}
{'loss': 1.3572, 'grad_norm': 5.202014923095703, 'learning_rate': 1.639898856260774e-05, 'epoch': 9.04}
{'loss': 1.2467, 'grad_norm': 5.6102728843688965, 'learning_rate': 1.631029831859196e-05, 'epoch': 9.15}
{'loss': 1.3065, 'grad_norm': 4.774159908294678, 'learning_rate': 1.6220775486475203e-05, 'epoch': 9.26}
{'loss': 1.2318, 'grad_norm': 5.7392988204956055, 'learning_rate': 1.613043187800408e-05, 'epoch': 9.36}
{'loss': 1.2494, 'grad_norm': 6.286116123199463, 'learning_rate': 1.6039279413219385e-05, 'epoch': 9.47}
{'loss': 1.2685, 'grad_norm': 5.66426944732666, 'learning_rate': 1.5947330118883362e-05, 'epoch': 9.58}
{'loss': 1.3168, 'grad_norm': 5.922942638397217, 'learning_rate': 1.5854596126892872e-05, 'epoch': 9.68}
{'loss': 1.2956, 'grad_norm': 6.653054714202881, 'learning_rate': 1.57610896726787e-05, 'epoch': 9.79}
{'loss': 1.2943, 'grad_norm': 5.880565166473389, 'learning_rate': 1.5666823093591184e-05, 'epoch': 9.9}
{'loss': 1.2539, 'grad_norm': 6.758585453033447, 'learning_rate': 1.5571808827272435e-05, 'epoch': 10.0}
{'eval_loss': 1.831369161605835, 'eval_runtime': 18.5419, 'eval_samples_per_second': 5.393, 'eval_steps_per_second': 2.697, 'epoch': 10.0}
{'loss': 1.176, 'grad_norm': 5.63686990737915, 'learning_rate': 1.5476059410015284e-05, 'epoch': 10.11}
{'loss': 1.2583, 'grad_norm': 6.119060516357422, 'learning_rate': 1.537958747510923e-05, 'epoch': 10.21}
{'loss': 1.1851, 'grad_norm': 6.257882118225098, 'learning_rate': 1.528240575117358e-05, 'epoch': 10.32}
{'loss': 1.1738, 'grad_norm': 6.142059803009033, 'learning_rate': 1.5184527060478056e-05, 'epoch': 10.43}
{'loss': 1.305, 'grad_norm': 6.10244083404541, 'learning_rate': 1.5085964317250967e-05, 'epoch': 10.53}
{'loss': 1.1974, 'grad_norm': 6.097690582275391, 'learning_rate': 1.498673052597531e-05, 'epoch': 10.64}
{'loss': 1.216, 'grad_norm': 6.463751316070557, 'learning_rate': 1.4886838779672952e-05, 'epoch': 10.75}
{'loss': 1.1598, 'grad_norm': 6.101892471313477, 'learning_rate': 1.4786302258177099e-05, 'epoch': 10.85}
{'loss': 1.1625, 'grad_norm': 5.835379123687744, 'learning_rate': 1.4685134226393354e-05, 'epoch': 10.96}
{'eval_loss': 1.8310730457305908, 'eval_runtime': 18.5913, 'eval_samples_per_second': 5.379, 'eval_steps_per_second': 2.689, 'epoch': 11.0}
{'loss': 1.1619, 'grad_norm': 6.068596363067627, 'learning_rate': 1.4583348032549522e-05, 'epoch': 11.06}
{'loss': 1.1008, 'grad_norm': 7.160067081451416, 'learning_rate': 1.4480957106434426e-05, 'epoch': 11.17}
{'loss': 1.1144, 'grad_norm': 6.24958610534668, 'learning_rate': 1.4377974957625973e-05, 'epoch': 11.28}
{'loss': 1.1537, 'grad_norm': 7.525393962860107, 'learning_rate': 1.427441517370867e-05, 'epoch': 11.38}
{'loss': 1.208, 'grad_norm': 6.745911121368408, 'learning_rate': 1.4170291418480884e-05, 'epoch': 11.49}
{'loss': 1.1083, 'grad_norm': 7.239132404327393, 'learning_rate': 1.4065617430152007e-05, 'epoch': 11.6}
{'loss': 1.2213, 'grad_norm': 7.663135051727295, 'learning_rate': 1.3960407019529827e-05, 'epoch': 11.7}
{'loss': 1.1363, 'grad_norm': 6.438130855560303, 'learning_rate': 1.3854674068198314e-05, 'epoch': 11.81}
{'loss': 1.0999, 'grad_norm': 7.350340843200684, 'learning_rate': 1.3748432526686067e-05, 'epoch': 11.92}
{'eval_loss': 1.8715848922729492, 'eval_runtime': 18.5058, 'eval_samples_per_second': 5.404, 'eval_steps_per_second': 2.702, 'epoch': 12.0}
{'loss': 1.0603, 'grad_norm': 7.00051212310791, 'learning_rate': 1.3641696412625667e-05, 'epoch': 12.02}
{'loss': 1.0657, 'grad_norm': 7.428092002868652, 'learning_rate': 1.3534479808904164e-05, 'epoch': 12.13}
{'loss': 1.0977, 'grad_norm': 7.177494049072266, 'learning_rate': 1.3426796861804982e-05, 'epoch': 12.23}
{'loss': 1.06, 'grad_norm': 7.028141975402832, 'learning_rate': 1.3318661779141435e-05, 'epoch': 12.34}
{'loss': 1.126, 'grad_norm': 7.769493103027344, 'learning_rate': 1.3210088828382115e-05, 'epoch': 12.45}
{'loss': 1.0387, 'grad_norm': 7.772364616394043, 'learning_rate': 1.3101092334768456e-05, 'epoch': 12.55}
{'loss': 1.0779, 'grad_norm': 9.220248222351074, 'learning_rate': 1.2991686679424617e-05, 'epoch': 12.66}
{'loss': 1.1122, 'grad_norm': 7.7263922691345215, 'learning_rate': 1.2881886297460042e-05, 'epoch': 12.77}
{'loss': 1.0804, 'grad_norm': 7.653039455413818, 'learning_rate': 1.2771705676064858e-05, 'epoch': 12.87}
{'loss': 1.0639, 'grad_norm': 7.663695812225342, 'learning_rate': 1.266115935259842e-05, 'epoch': 12.98}
{'eval_loss': 1.874508261680603, 'eval_runtime': 18.5315, 'eval_samples_per_second': 5.396, 'eval_steps_per_second': 2.698, 'epoch': 13.0}
{'loss': 1.0735, 'grad_norm': 7.7728118896484375, 'learning_rate': 1.2550261912671256e-05, 'epoch': 13.09}
{'loss': 1.0125, 'grad_norm': 7.702395915985107, 'learning_rate': 1.245016610453287e-05, 'epoch': 13.19}
{'loss': 0.9957, 'grad_norm': 8.246898651123047, 'learning_rate': 1.2338641891050798e-05, 'epoch': 13.3}
{'loss': 0.9375, 'grad_norm': 9.078410148620605, 'learning_rate': 1.2226809114437056e-05, 'epoch': 13.41}
{'loss': 0.9836, 'grad_norm': 8.190779685974121, 'learning_rate': 1.2114682530038289e-05, 'epoch': 13.51}
{'loss': 0.9888, 'grad_norm': 7.846866130828857, 'learning_rate': 1.200227693196648e-05, 'epoch': 13.62}
{'loss': 1.0282, 'grad_norm': 8.156805038452148, 'learning_rate': 1.1889607151147e-05, 'epoch': 13.73}
{'loss': 1.0683, 'grad_norm': 8.693289756774902, 'learning_rate': 1.1776688053361803e-05, 'epoch': 13.83}
{'loss': 1.0022, 'grad_norm': 8.388073921203613, 'learning_rate': 1.1663534537288009e-05, 'epoch': 13.94}
{'eval_loss': 1.890534520149231, 'eval_runtime': 18.5522, 'eval_samples_per_second': 5.39, 'eval_steps_per_second': 2.695, 'epoch': 14.0}
{'loss': 1.0375, 'grad_norm': 7.986856460571289, 'learning_rate': 1.1550161532532157e-05, 'epoch': 14.04}
{'loss': 0.9436, 'grad_norm': 7.209183216094971, 'learning_rate': 1.143658399766039e-05, 'epoch': 14.15}
{'loss': 0.9823, 'grad_norm': 7.824410915374756, 'learning_rate': 1.1322816918224779e-05, 'epoch': 14.26}
{'loss': 0.9546, 'grad_norm': 9.033899307250977, 'learning_rate': 1.1208875304786133e-05, 'epoch': 14.36}
{'loss': 0.9228, 'grad_norm': 7.770153522491455, 'learning_rate': 1.1094774190933478e-05, 'epoch': 14.47}
{'loss': 0.9536, 'grad_norm': 8.607412338256836, 'learning_rate': 1.098052863130051e-05, 'epoch': 14.58}
{'loss': 0.9353, 'grad_norm': 8.265625, 'learning_rate': 1.0866153699579274e-05, 'epoch': 14.68}
{'loss': 1.0324, 'grad_norm': 9.112762451171875, 'learning_rate': 1.0751664486531307e-05, 'epoch': 14.79}
{'loss': 0.9851, 'grad_norm': 8.966178894042969, 'learning_rate': 1.0637076097996573e-05, 'epoch': 14.9}
{'loss': 0.9317, 'grad_norm': 9.429475784301758, 'learning_rate': 1.0522403652900352e-05, 'epoch': 15.0}
{'eval_loss': 1.9105929136276245, 'eval_runtime': 18.5365, 'eval_samples_per_second': 5.395, 'eval_steps_per_second': 2.697, 'epoch': 15.0}
{'loss': 0.8214, 'grad_norm': 9.820062637329102, 'learning_rate': 1.040766228125845e-05, 'epoch': 15.11}
{'loss': 0.8652, 'grad_norm': 7.188149929046631, 'learning_rate': 1.029286712218092e-05, 'epoch': 15.21}
{'loss': 0.9388, 'grad_norm': 8.714278221130371, 'learning_rate': 1.0178033321874599e-05, 'epoch': 15.32}
{'loss': 0.9556, 'grad_norm': 8.847844123840332, 'learning_rate': 1.006317603164468e-05, 'epoch': 15.43}
{'loss': 0.9507, 'grad_norm': 8.854822158813477, 'learning_rate': 9.94831040589565e-06, 'epoch': 15.53}
{'loss': 0.925, 'grad_norm': 8.90231990814209, 'learning_rate': 9.833451600131799e-06, 'epoch': 15.64}
{'loss': 0.9298, 'grad_norm': 8.239163398742676, 'learning_rate': 9.718614768957572e-06, 'epoch': 15.75}
{'loss': 0.9111, 'grad_norm': 8.469747543334961, 'learning_rate': 9.60381506407807e-06, 'epoch': 15.85}
{'loss': 0.9213, 'grad_norm': 8.938684463500977, 'learning_rate': 9.4890676322999e-06, 'epoch': 15.96}
{'eval_loss': 1.9125677347183228, 'eval_runtime': 18.5541, 'eval_samples_per_second': 5.39, 'eval_steps_per_second': 2.695, 'epoch': 16.0}
{'loss': 0.8758, 'grad_norm': 8.159051895141602, 'learning_rate': 9.374387613532693e-06, 'epoch': 16.06}
{'loss': 0.9348, 'grad_norm': 8.897478103637695, 'learning_rate': 9.259790138791537e-06, 'epoch': 16.17}
{'loss': 0.8433, 'grad_norm': 7.922050952911377, 'learning_rate': 9.145290328200562e-06, 'epoch': 16.28}
{'loss': 0.8188, 'grad_norm': 8.988394737243652, 'learning_rate': 9.030903288997977e-06, 'epoch': 16.38}
{'loss': 0.7891, 'grad_norm': 9.074028968811035, 'learning_rate': 8.916644113542797e-06, 'epoch': 16.49}
{'loss': 0.9168, 'grad_norm': 8.666799545288086, 'learning_rate': 8.802527877323557e-06, 'epoch': 16.6}
{'loss': 0.8317, 'grad_norm': 10.040702819824219, 'learning_rate': 8.688569636969214e-06, 'epoch': 16.7}
{'loss': 0.8807, 'grad_norm': 10.115188598632812, 'learning_rate': 8.574784428262564e-06, 'epoch': 16.81}
{'loss': 0.8688, 'grad_norm': 9.385929107666016, 'learning_rate': 8.461187264156417e-06, 'epoch': 16.92}
{'eval_loss': 1.958653211593628, 'eval_runtime': 18.5284, 'eval_samples_per_second': 5.397, 'eval_steps_per_second': 2.699, 'epoch': 17.0}
{'loss': 0.8312, 'grad_norm': 8.522231101989746, 'learning_rate': 8.34779313279275e-06, 'epoch': 17.02}
{'loss': 0.8458, 'grad_norm': 9.45667552947998, 'learning_rate': 8.234616995525168e-06, 'epoch': 17.13}
{'loss': 0.7765, 'grad_norm': 8.5951566696167, 'learning_rate': 8.121673784944885e-06, 'epoch': 17.23}
{'loss': 0.8524, 'grad_norm': 9.71546459197998, 'learning_rate': 8.008978402910487e-06, 'epoch': 17.34}
{'loss': 0.8055, 'grad_norm': 10.08319091796875, 'learning_rate': 7.896545718581786e-06, 'epoch': 17.45}
{'loss': 0.8364, 'grad_norm': 8.941654205322266, 'learning_rate': 7.784390566457941e-06, 'epoch': 17.55}
{'loss': 0.8089, 'grad_norm': 9.583442687988281, 'learning_rate': 7.672527744420193e-06, 'epoch': 17.66}
{'loss': 0.7764, 'grad_norm': 9.476301193237305, 'learning_rate': 7.560972011779417e-06, 'epoch': 17.77}
{'loss': 0.9107, 'grad_norm': 9.685065269470215, 'learning_rate': 7.4497380873287485e-06, 'epoch': 17.87}
{'loss': 0.82, 'grad_norm': 9.693933486938477, 'learning_rate': 7.3388406474015805e-06, 'epoch': 17.98}
{'eval_loss': 1.9806604385375977, 'eval_runtime': 18.5728, 'eval_samples_per_second': 5.384, 'eval_steps_per_second': 2.692, 'epoch': 18.0}
{'loss': 0.8194, 'grad_norm': 11.433906555175781, 'learning_rate': 7.228294323935144e-06, 'epoch': 18.09}
{'loss': 0.7737, 'grad_norm': 9.120870590209961, 'learning_rate': 7.118113702539959e-06, 'epoch': 18.19}
{'loss': 0.827, 'grad_norm': 10.169995307922363, 'learning_rate': 7.008313320575385e-06, 'epoch': 18.3}
{'loss': 0.786, 'grad_norm': 8.335896492004395, 'learning_rate': 6.898907665231547e-06, 'epoch': 18.41}
{'loss': 0.7568, 'grad_norm': 10.446639060974121, 'learning_rate': 6.789911171617888e-06, 'epoch': 18.51}
{'loss': 0.802, 'grad_norm': 11.46000862121582, 'learning_rate': 6.681338220858569e-06, 'epoch': 18.62}
{'loss': 0.8011, 'grad_norm': 10.79127311706543, 'learning_rate': 6.573203138195019e-06, 'epoch': 18.73}
{'loss': 0.783, 'grad_norm': 9.443277359008789, 'learning_rate': 6.465520191095838e-06, 'epoch': 18.83}
{'loss': 0.8216, 'grad_norm': 10.13325023651123, 'learning_rate': 6.358303587374338e-06, 'epoch': 18.94}
{'eval_loss': 2.0009429454803467, 'eval_runtime': 18.5629, 'eval_samples_per_second': 5.387, 'eval_steps_per_second': 2.694, 'epoch': 19.0}
{'loss': 0.7448, 'grad_norm': 10.92227554321289, 'learning_rate': 6.2515674733139355e-06, 'epoch': 19.04}
{'loss': 0.7487, 'grad_norm': 9.391581535339355, 'learning_rate': 6.145325931801687e-06, 'epoch': 19.15}
{'loss': 0.7402, 'grad_norm': 9.292353630065918, 'learning_rate': 6.0395929804701745e-06, 'epoch': 19.26}
{'loss': 0.7864, 'grad_norm': 10.051756858825684, 'learning_rate': 5.934382569847994e-06, 'epoch': 19.36}
